
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced,propTracedMean,propTracedStd,theoreticalMean_NoTracingTerm,theoreticalMean_TracingTerm
0.04,0.02,13550.694,9886.37,1.3637074132538092,0.0037406651461630164,1.3744912302842993,103.996,0.010665294268576014,5.843348323514666e-5,0.6132372445101572,1.763840771850249
0.06,0.02,13746.044,9884.482,1.382482871675404,0.004248191064020547,1.3859311287814555,101.662,0.01039627182476883,5.9408780349566836e-5,0.6027920166336437,1.6874937996357078
0.08,0.02,13941.728,9961.516,1.3969366126330627,0.003107666564119557,1.4013799812156797,98.064,0.009963080467745349,4.961118916789507e-5,0.5873301206044231,1.720503561935877
0.1,0.02,14117.422,9962.154,1.4147454776481354,0.003053209426638015,1.4130821122758475,96.508,0.009784311024685357,4.916196045090712e-5,0.575635843143275,1.7287108580741415
0.12000000000000001,0.02,14201.852,9942.872,1.4243825942013093,0.0035014697074711304,1.4264869681016128,93.09,0.009471465456279348,4.952705967281007e-5,0.5632838554834628,1.6432831926655196
0.14,0.02,14259.45,9904.434,1.4324801794785562,0.004277462200757015,1.4411381571656552,90.296,0.00925097237401636,5.713408023516983e-5,0.5494688064687746,1.5648254615110988
0.16,0.02,14455.972,9942.92,1.4500479328475788,0.0034045103709528426,1.4546953750743705,87.03,0.008877171590636435,5.17779815690554e-5,0.5359160765284631,1.593521903036223
0.18,0.02,14634.878,9980.856,1.464954910280374,0.002927150298866057,1.4657752088284675,85.84,0.008700184774575018,4.924781608280678e-5,0.5251593088361173,1.5671466424738603
0.19999999999999998,0.02,14707.528,9923.358,1.4761593984339125,0.0039978887121779935,1.4788571240691386,82.854,0.008477869194215943,5.425677373369734e-5,0.5125810722118308,1.5224814991813715
0.21999999999999997,0.02,14889.842,9980.322,1.4897297639751552,0.0034341924130950694,1.493783436306056,80.26,0.008107070707070705,4.580962904343056e-5,0.4987548336759103,1.4191526305676558
0.23999999999999996,0.02,15040.298,10000.0,1.5040298000000003,0.002649082894944697,1.5069618445181696,78.096,0.007888484848484844,4.431922087801556e-5,0.4855821555410565,1.4307573170558725
0.25999999999999995,0.02,15141.836,9961.296,1.5168472707403418,0.003503518549273883,1.5209515086200347,75.466,0.007671297348484845,5.0566544197909605e-5,0.4723678937209301,1.3432241981444295
0.27999999999999997,0.02,15321.584,10000.0,1.5321584,0.0027245655532190036,1.5309943908853256,72.172,0.007290101010101006,4.111597623619382e-5,0.46249804225862773,1.3551560242303153
0.3,0.02,15422.406,9980.44,1.5433075090909092,0.0033450008779673606,1.5467648380552672,70.13,0.007083838383838379,4.4423898153034664e-5,0.44736707943733955,1.275743192701182
0.32,0.02,15595.812,10000.0,1.5595811999999998,0.002728148603490186,1.55864289532468,68.826,0.006952121212121208,4.165973585387996e-5,0.43557015814931765,1.2679702773981973
